SDRs per Currency unit and Currency units per SDR (1)
last five days
SDRs per Currency unit (2)

Currency	October 13, 2019	October 11, 2019	October 10, 2019	October 09, 2019	October 08, 2019
Chinese yuan		0.1027670000	0.1026140000	0.1025830000	0.1027120000
Euro		0.8057330000	0.8063940000	0.8040600000	0.8041390000
Japanese yen		0.0067558500	0.0068116300	0.0068375000	0.0068159700
U.K. pound		0.9166000000	0.8952950000	0.8950760000	0.8943170000
U.S. dollar		0.7296320000	0.7310920000	0.7322280000	0.7319670000
Algerian dinar		0.0060737100	0.0060850600	0.0060867700	0.0060862100
Australian dollar		0.4944720000	0.4931950000	0.4932290000	0.4939310000
Botswana pula		0.0663965000	0.0662369000	0.0660470000	0.0663162000
Brazilian real		0.1777250000	0.1777130000	0.1788190000	
Brunei dollar		0.5310660000	0.5305070000	0.5298700000	0.5302190000
Canadian dollar			0.5499410000	0.5495560000	0.5494010000
Chilean peso			0.0010094200	0.0010137700	
Colombian peso		0.0002109730	0.0002116310	0.0002120820	
Czech koruna		0.0312182000	0.0311421000	0.0311348000	0.0311634000
Danish krone		0.1078790000	0.1079740000	0.1076520000	0.1076640000
Indian rupee		0.0102726000	0.0102896000	0.0102968000	
Israeli New Shekel		0.2078720000	0.2086450000		
Korean won		0.0006100090	0.0006119460		0.0006117570
Kuwaiti dinar		2.4009000000	2.4057000000	2.4094400000	2.4093700000
Malaysian ringgit		0.1743240000	0.1743600000	0.1744310000	0.1746520000
Mauritian rupee		0.0199807000	0.0200162000	0.0200527000	0.0200476000
Mexican peso		0.0377623000	0.0375373000	0.0374179000	0.0373758000
New Zealand dollar		0.4610540000	0.4597840000	0.4618890000	0.4603340000
Norwegian krone		0.0802720000	0.0802102000	0.0799838000	0.0800533000
Omani rial		1.8976100000	1.9014100000	1.9043600000	1.9036900000
Peruvian sol			0.2177160000	0.2168280000	
Philippine peso		0.0141158000	0.0141061000	0.0141381000	0.0141137000
Polish zloty		0.1863920000	0.1863790000	0.1859300000	0.1857550000
Qatari riyal		0.2004480000	0.2008490000	0.2011620000	0.2010900000
Russian ruble		0.0113608000	0.0112925000	0.0112482000	0.0112841000
Saudi Arabian riyal		0.1945690000	0.1949580000	0.1952610000	0.1951910000
Singapore dollar		0.5310660000	0.5305070000	0.5298700000	0.5302190000
South African rand		0.0491272000	0.0483853000	0.0483429000	0.0478972000
Swedish krona		0.0742930000	0.0738484000	0.0737122000	0.0739532000
Swiss franc		0.7314970000	0.7365050000	0.7364630000	0.7381300000
Thai baht		0.0239805000	0.0241109000	0.0241293000	0.0240328000
Trinidadian dollar		0.1079820000	0.1081130000	0.1083640000	0.1083270000
U.A.E. dirham		0.1986740000	0.1990720000	0.1993810000	0.1993100000
Uruguayan peso			0.0196631000	0.0196777000	0.0196633000

Currency units per SDR(3)

